LAIL81,EVI,NDVI,DVI,SAVI,bio2
3.369970083,-0.367307007,0.287185997,1,0.43077299,9
4.103539944,-0.311421007,0.342676014,2,0.514003992,13
2.636519909,-0.250279993,0.220550999,1,0.330819994,11
2.322900057,-0.142501995,0.227828994,1,0.341735005,16
2.833110094,-0.158305004,0.237152994,1,0.35572201,13
0.942452013,-0.160284996,0.241116002,1,0.361665994,12
2.906490088,-0.179271996,0.212301001,1,0.31844601,8
2.765660048,-0.231998995,0.228802994,1,0.343198001,11
2.2332201,-0.281046003,0.212219998,1,0.318324,12
2.782099962,-0.278254002,0.289833993,1,0.434744,12
3.03083992,-0.223302007,0.305979997,1,0.458961993,12
3.197249889,-0.159388006,0.249203995,1,0.373798013,8
2.710160017,-0.126681998,0.199037999,1,0.29855001,16
3.525700092,-0.221137002,0.309442997,1,0.464154989,17
2.587419987,-0.145962,0.222472996,1,0.333703011,13
3.348750114,-0.319130003,0.35167101,2,0.527498007,13
2.630810022,-0.140000999,0.190053999,1,0.285075009,7
2.366499901,-0.203766003,0.238098994,1,0.357142001,11
3.233139992,-0.244812995,0.259658992,1,0.389481008,13
3.398590088,-0.257064998,0.237489998,1,0.356227994,13
3.613859892,-0.272199005,0.26651299,1,0.399762005,9
4.829599857,-0.315059006,0.375573009,2,0.563350022,11
4.00676012,-0.237928003,0.294232011,1,0.441339999,12
3.749799967,-0.218758002,0.290116012,1,0.435166001,7
3.063139915,-0.117054999,0.207567006,1,0.311343014,11
3.346430063,-0.213746995,0.295044988,1,0.442559004,12
2.457230091,-0.181211993,0.266202003,1,0.399293989,19
3.330919981,-0.264039993,0.365559995,2,0.548330009,17
3.952320099,-0.259669006,0.337247014,2,0.505859971,15
2.612659931,-0.149682,0.242630005,1,0.36393699,11
2.679019928,-0.106666997,0.162224993,1,0.243331999,7
3.410449982,-0.172404006,0.211338997,1,0.317001998,10
2.278759956,-0.310065001,0.196522996,1,0.294779986,11
3.884229898,-0.283131003,0.256677002,1,0.385008991,9
4.261539936,-0.325982004,0.296068013,1,0.444094986,9
2.450220108,-0.155330002,0.192072004,1,0.288102001,10
5.258069992,-0.327904999,0.393595994,2,0.590382993,11
2.810270071,-0.175573006,0.250021011,1,0.375023007,12
3.077419996,-0.164486006,0.248157993,1,0.372229993,7
